artist_id,artist_name,artist_genre,last_updated_datetime_utc
0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,mandopop,2025-10-01T04:00:17.481733
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,2025-10-01T04:00:17.637947
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,,2025-10-01T04:00:17.833215
16s0YTFcyjP4kgFwt7ktrY,Mayday,mandopop,2025-10-01T04:00:18.157710
06HL4z0CvFAxyc27GXpf02,Taylor Swift,,2025-10-01T04:00:18.324583
4mmMtabvFCKA6HfmVmitNH,Jodi Benson,,2025-10-01T04:00:18.501612
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,,2025-10-01T04:00:18.650769
2BUrzKAS9si1FCDjrTWNrl,Barbie,,2025-10-01T04:00:18.822390
1z6xb7fWEynx9m92JVA8ZR,Annapantsu,,2025-10-01T04:00:18.990644
3dI4Io8XE33J2o04ZwjR0Y,LaLa Hsu,mandopop,2025-10-01T04:00:19.153262
6Xy3W72s4bZ3aI5X6NTp3G,Kolor,cantopop,2025-10-01T04:00:19.341718
2kHxkdiKCSnHMkhIgFBZaI,Kristen Bell,,2025-10-01T04:00:19.528688
3PhoLpVuITZKcymswpck5b,Elton John,,2025-10-01T04:00:19.740484
0C0XlULifJtAgn6ZNCW2eu,The Killers,alternative rock,2025-10-01T04:00:19.906573
2JBUyLiFvpFPWdZGqIGYLD,Crowd Lu,mandopop,2025-10-01T04:00:20.116668
1r9DuPTHiQ7hnRRZ99B8nL,JOLIN,mandopop,2025-10-01T04:00:20.317611
2QcZxAgcs2I1q7CtCkl6MI,Eason Chan,cantopop,2025-10-01T04:00:20.526957
51ZbCFgOspWvhBjd1DUYEV,Candy Lo,cantopop,2025-10-01T04:00:20.710845
