played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_id,artist_id,track_id,last_updated_datetime_utc
2025-09-30T05:38:34.654Z,2025-09-30,社交恐懼癌,Eason Chan,205029,https://open.spotify.com/track/2PM5BmUUyASOViRJtvTkrJ,https://i.scdn.co/image/ab67616d00001e024fb1987c2bfebdfcf0504b6c,CHIN UP!,3ykss35B3LJwwwKkLxYOs3,2QcZxAgcs2I1q7CtCkl6MI,2PM5BmUUyASOViRJtvTkrJ,2025-09-30T07:00:08.748797
2025-09-30T05:35:14.893Z,2025-09-30,時光倒流二十年,Eason Chan,225453,https://open.spotify.com/track/1wXLamYVQzMyhW3fZMLI2Y,https://i.scdn.co/image/ab67616d00001e02589b564ec8d5c379964ad460,Eason's Life 陳奕迅2013演唱會,1AzEJfSldVxGojEqAPPOyC,2QcZxAgcs2I1q7CtCkl6MI,1wXLamYVQzMyhW3fZMLI2Y,2025-09-30T07:00:08.748822
2025-09-30T05:31:03.079Z,2025-09-30,社交恐懼癌,Eason Chan,205029,https://open.spotify.com/track/2PM5BmUUyASOViRJtvTkrJ,https://i.scdn.co/image/ab67616d00001e024fb1987c2bfebdfcf0504b6c,CHIN UP!,3ykss35B3LJwwwKkLxYOs3,2QcZxAgcs2I1q7CtCkl6MI,2PM5BmUUyASOViRJtvTkrJ,2025-09-30T07:00:08.748828
2025-09-30T05:25:03.714Z,2025-09-30,社交恐懼癌,Eason Chan,205029,https://open.spotify.com/track/2PM5BmUUyASOViRJtvTkrJ,https://i.scdn.co/image/ab67616d00001e024fb1987c2bfebdfcf0504b6c,CHIN UP!,3ykss35B3LJwwwKkLxYOs3,2QcZxAgcs2I1q7CtCkl6MI,2PM5BmUUyASOViRJtvTkrJ,2025-09-30T07:00:08.748833
2025-09-30T05:23:56.403Z,2025-09-30,不難,LaLa Hsu,280640,https://open.spotify.com/track/3LOTdehsLMCm3u0CNJwsL3,https://i.scdn.co/image/ab67616d00001e0282e5ed12c7eb0b9e0984b802,理想人生,7dKLZlMYgc3Cz6f0e49gbn,3dI4Io8XE33J2o04ZwjR0Y,3LOTdehsLMCm3u0CNJwsL3,2025-09-30T07:00:08.748836
2025-09-30T05:16:24.532Z,2025-09-30,兄弟,Mayday,248373,https://open.spotify.com/track/4IFz00jQHocnUIz1QD78Rr,https://i.scdn.co/image/ab67616d00001e021403df7a7de5cd45df3ae3db,自傳,4hg4cR8QMbE0xuvoxoA6DX,16s0YTFcyjP4kgFwt7ktrY,4IFz00jQHocnUIz1QD78Rr,2025-09-30T07:00:08.748840
2025-09-30T04:04:14.369Z,2025-09-30,好好 (想把你寫成一首歌),Mayday,198551,https://open.spotify.com/track/1Rxn57Wwv6hQUu60MIiMMJ,https://i.scdn.co/image/ab67616d00001e021403df7a7de5cd45df3ae3db,自傳,4hg4cR8QMbE0xuvoxoA6DX,16s0YTFcyjP4kgFwt7ktrY,1Rxn57Wwv6hQUu60MIiMMJ,2025-09-30T07:00:08.748844
2025-09-30T04:00:54.440Z,2025-09-30,成名在望,Mayday,307611,https://open.spotify.com/track/3H0XKFHSpeTTyD8zFrLpOc,https://i.scdn.co/image/ab67616d00001e021403df7a7de5cd45df3ae3db,自傳,4hg4cR8QMbE0xuvoxoA6DX,16s0YTFcyjP4kgFwt7ktrY,3H0XKFHSpeTTyD8zFrLpOc,2025-09-30T07:00:08.748847
2025-09-30T03:55:47.791Z,2025-09-30,NewJeans 2nd Debut Anniversary,NewJeans,21588,https://open.spotify.com/track/1TpOJVzoFxCsWFgy7ajwiN,https://i.scdn.co/image/ab67616d00001e029b24ef82b9e710fd08e90787,This Is NewJeans audio liner (2nd anniversary),6eyBYgYD8ctMGYQhWbQYoS,6HvZYsbFfjnjFrWF950C9d,1TpOJVzoFxCsWFgy7ajwiN,2025-09-30T07:00:08.748851
2025-09-30T03:55:12.924Z,2025-09-30,Cookie,NewJeans,235562,https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg,https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,NewJeans 1st EP 'New Jeans',1HMLpmZAnNyl9pxvOnTovV,6HvZYsbFfjnjFrWF950C9d,2DwUdMJ5uxv20EhAildreg,2025-09-30T07:00:08.748855
