artist_id,artist_name,artist_genre,last_updated_datetime_utc
7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,japanese classical,2025-10-01T03:01:14.943381
4rdSHzO4enUlVxdQeHPGTp,Rachel Liang,mandopop,2025-10-01T03:01:15.176656
4m0xrEWYU0yCUFMaga015T,Cheer Chen,taiwanese pop,2025-10-01T03:01:15.361137
7aRC4L63dBn3CiLDuWaLSI,G.E.M.,mandopop,2025-10-01T03:01:15.553048
4TGQEYGf6Pu4tpMNGQ4tOR,魚丁糸,taiwanese indie,2025-10-01T03:01:15.718054
1SCaQu3jTbcKIjy8aC7KHa,JACE,cantopop,2025-10-01T03:01:15.888880
2DaxqgrOhkeH0fpeiQq2f4,Oasis,britpop,2025-10-01T03:01:16.066245
5qKvIYld9MeIwjut9otxti,Noni,indonesian r&b,2025-10-01T03:01:16.342721
1CqvjaECUkhe4BMeYz4Ihh,郭顶,chinese indie,2025-10-01T03:01:16.529049
5Mx85GBWB3PbMOhZAVxXkR,HUSH,taiwanese indie,2025-10-01T03:01:16.702237
7FtIwSBEj9k7ANhBpnqxsX,AcousticTrench,,2025-10-01T03:01:16.881325
5GH4Ndf9p8BnxvpMWPxGot,Walter Kwan,chinese r&b,2025-10-01T03:01:17.065928
7KMqksf0UMdyA0UCf4R3ux,James Blunt,,2025-10-01T03:01:17.242738
0Awqm7GXGiBp8fJNGvywra,理想混蛋,mandopop,2025-10-01T03:01:17.477943
2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,,2025-10-01T03:01:17.639261
7lqaPghwYv2mE9baz5XQmL,Tally Hall,,2025-10-01T03:01:17.844933
3eCd0TZrBPm2n9cDG6yWfF,DEAN,k-rap,2025-10-01T03:01:18.038574
4pzAvicKWenQtv9zIQim47,Rock Mafia,,2025-10-01T03:01:18.245392
3aIDSTKS9yH745GUQBxDcS,Fish Leong,mandopop,2025-10-01T03:01:18.555662
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop,2025-10-01T03:01:18.767639
3XCnp5UV5wnNw49Xuka9qH,Sammi Cheng,cantopop,2025-10-01T03:01:18.954386
6dOnTTVTbQlFWF6yfD4Vw5,daigoro789,,2025-10-01T03:01:19.128906
5y8tKLUfMvliMe8IKamR32,d4vd,,2025-10-01T03:01:19.411289
35WVTyRnKAoaGExqgktVyb,Hotel Ugly,,2025-10-01T03:01:19.564216
2NzWRNaaLByHyI3wpuec8P,Jim Brickman,new age,2025-10-01T03:01:19.813680
3WYT2b8pOLsLsqSaoWYr7U,sodagreen,mandopop,2025-10-01T03:01:19.983939
4kLvhMAuCloLxoP1aVM7Lr,Michael Giacchino,soundtrack,2025-10-01T03:01:20.156954
6H93wOohK6r1MwGh41Z4Nb,Ashin Chen,mandopop,2025-10-01T03:01:20.338384
3pc0bOVB5whxmD50W79wwO,keshi,,2025-10-01T03:01:20.504552
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,,2025-10-01T03:01:20.726765
2ItyqN4i9lNz49g421p0Cl,Yuji Nomi,anime,2025-10-01T03:01:20.929196
1tcgfoMTT1szjUeaikxRjA,Ryuichi Sakamoto,japanese classical,2025-10-01T03:01:21.124375
6SuhlH2L1NB53bBscBqAdu,David Pomeranz,,2025-10-01T03:01:21.286765
7rxRHujzUzobMEbtoE297s,George Lam,cantopop,2025-10-01T03:01:21.482979
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,classic rock,2025-10-01T03:01:21.750143
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,,2025-10-01T03:01:21.932831
5Z1CCuBsyhEHngq3U5IraY,Westlife,,2025-10-01T03:01:22.143542
7oPftvlwr6VrsViSDV7fJY,Green Day,punk,2025-10-01T03:01:22.326768
4bRMSv20sBKRl1eikK5LWh,石白其,c-pop,2025-10-01T03:01:22.522910
6qAoh45c4dsSqxNhp845SQ,Stephanie Cheng,cantopop,2025-10-01T03:01:22.694420
6LdLJ6nh1qFyveuaXwxdXQ,Swing,cantopop,2025-10-01T03:01:23.285903
06HL4z0CvFAxyc27GXpf02,Taylor Swift,,2025-10-01T03:01:23.464364
3lh6JVXJU1mcXuI7ctT4gh,Carlos Rafael Rivera,,2025-10-01T03:01:23.654467
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,musicals,2025-10-01T03:01:23.846956
502gYHkFCtLzBIcU4ctPLd,Zeph,,2025-10-01T03:01:24.037018
72X6FHxaShda0XeQw3vbeF,Slowdive,shoegaze,2025-10-01T03:01:24.244490
1R6Hx1tJ2VOUyodEpC12xM,Jim Croce,folk rock,2025-10-01T03:01:24.475616
7GN9PivdemQRKjDt4z5Zv8,The Internet,alternative r&b,2025-10-01T03:01:24.649242
6jlz5QSUqbKE4vnzo2qfP1,Karen Mok,mandopop,2025-10-01T03:01:24.804351
6KImCVD70vtIoJWnq6nGn3,Harry Styles,,2025-10-01T03:01:25.002597
4xlAHgZnzzPHtoKnev0gwJ,Good Band,taiwanese indie,2025-10-01T03:01:25.222889
164Uj4eKjl6zTBKfJLFKKK,JVKE,,2025-10-01T03:01:25.392629
5RDvViphKcNgpxDiKrXURv,黑屋乐队,chinese indie,2025-10-01T03:01:25.561570
70ZTdbPEcEugBNay4MvxfL,Bread,soft rock,2025-10-01T03:01:25.753565
1hCkSJcXREhrodeIHQdav8,Ramin Djawadi,soundtrack,2025-10-01T03:01:25.918071
6INLZbPHXGj6ERrjFGPYD6,Di Ma,chinese indie,2025-10-01T03:01:26.101242
21QQNTzqULHjiaDKaZepRP,Wang OK,chinese indie,2025-10-01T03:01:26.298937
2Guif3r6Ys8lL1H5aGyuh1,Will Gittens,,2025-10-01T03:01:26.481754
14hV8HTKYMZ5nzeaLdLp63,Shirley Kwan,cantopop,2025-10-01T03:01:26.664784
2JBUyLiFvpFPWdZGqIGYLD,Crowd Lu,mandopop,2025-10-01T03:01:26.845000
3twuAojvYNrlWZpMkxLm3P,Daveed Diggs,musicals,2025-10-01T03:01:27.056702
7mShFo2eYgVBQFZBCilhtl,Leah Dou,chinese indie,2025-10-01T03:01:27.236972
4uaGojdWj4H6cTJydZUPWG,Christian Kuria,,2025-10-01T03:01:27.430434
7dGJo4pcD2V6oG8kP0tJRR,Eminem,rap,2025-10-01T03:01:27.649946
324QqTOkQyG8CUlphElsdD,Crying City,,2025-10-01T03:01:27.826186
5uNm1FvRSh2IcPNDGQChtr,Ben Crosland,,2025-10-01T03:01:28.017931
0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,,2025-10-01T03:01:28.196328
2oKqZCLOi18wxFFnDS6e25,盘尼西林乐队,chinese rock,2025-10-01T03:01:28.370336
3SE27gXSslxgqSlImdzfpD,Imperial Orchestra,,2025-10-01T03:01:28.585705
2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,power pop,2025-10-01T03:01:28.787997
6sShbaFnqvxmlnWOJsZoI9,Maggie Fu,cantopop,2025-10-01T03:01:28.987152
1q8BvOdpOtapWOIgO26sOn,Andy Hui,cantopop,2025-10-01T03:01:29.151366
597GQ9dmhOQoBfqmfQINKB,Hannah Grace,,2025-10-01T03:01:29.409565
4WnO2VmlwdTX77ANsThWLQ,CODE KUNST,k-rap,2025-10-01T03:01:29.611703
6Ayc7FBYR3HjkGQb7SZrzQ,Javier Navarrete,soundtrack,2025-10-01T03:01:29.787283
0x4BXhEratZdyW3l6wmkd1,Mercuzio Pianist,,2025-10-01T03:01:30.045067
3MZsBdqDrRTJihTHQrO6Dq,Joji,,2025-10-01T03:01:30.235552
163tK9Wjr9P9DmM0AVK7lm,Lorde,,2025-10-01T03:01:30.423277
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,,2025-10-01T03:01:30.603476
2yNNYQBChuox9A5Ka93BIn,HUNTR/X,k-pop,2025-10-01T03:01:30.790404
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,art pop,2025-10-01T03:01:30.958017
5YVLwkimiEhl8L409NfySF,Wendy Wander,taiwanese indie,2025-10-01T03:01:31.142734
57okaLdCtv3nVBSn5otJkp,HYUKOH,k-rock,2025-10-01T03:01:31.319994
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,hip hop,2025-10-01T03:01:31.513301
3sXwEUqxSzb11VpuFa5cvJ,Stacey Ryan,,2025-10-01T03:01:31.731068
5fsvdsoyuf70KZSQDisJdy,Cameron Gainley,,2025-10-01T03:01:31.937439
706WzkJEacBrtkHKRpBU2q,Motohiro Hata,j-pop,2025-10-01T03:01:32.165876
5LMhxSaCGkm8ZuY0cRb19O,EZU 黃奕儒,chinese indie,2025-10-01T03:01:32.345836
4S33gEeiCjwfD1FJKfMT3Y,Kevin Penkin,anime,2025-10-01T03:01:32.563574
74XFHRwlV6OrjEM0A2NCMF,Paramore,pop punk,2025-10-01T03:01:32.802147
56ZTgzPBDge0OvCGgMO3OY,Beach House,dream pop,2025-10-01T03:01:32.997300
6DS6uiPxL0Sardq5cfls4O,nkei,,2025-10-01T03:01:33.173352
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,,2025-10-01T03:01:33.350920
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,,2025-10-01T03:01:33.541147
543ccHFPnZfJMD8tRGPtu7,James Smith,,2025-10-01T03:01:33.763959
1w5kguKKWpMp9eoEVUQrbf,WON,j-pop,2025-10-01T03:01:33.970284
0y0nI8lwDB2HRUPwDQuuiu,岡部啓一,soundtrack,2025-10-01T03:01:34.126472
6V03b3Y36lolYP2orXn8mV,98º,,2025-10-01T03:01:34.294302
6ignRjbPmLvKdtMLj9a5Xs,Ichiko Aoba,japanese indie,2025-10-01T03:01:34.464529
4oEXworvhegyK83rZwVyWL,GSoul,k-rap,2025-10-01T03:01:34.640399
147dKKwnUn9qesNx8uAs3Z,Ilan Eshkeri,soundtrack,2025-10-01T03:01:34.813422
4dpARuHxo51G3z768sgnrY,Adele,soft pop,2025-10-01T03:01:35.266720
1SImpQO0GbjRgvlwCcCtFo,The Red Jumpsuit Apparatus,pop punk,2025-10-01T03:01:35.482997
5a5vu4RzsAHdKN0aYyblZ8,吳青峰,mandopop,2025-10-01T03:01:35.676980
0C0XlULifJtAgn6ZNCW2eu,The Killers,alternative rock,2025-10-01T03:01:35.869371
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,,2025-10-01T03:01:36.056939
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,,2025-10-01T03:01:36.240156
1r9DuPTHiQ7hnRRZ99B8nL,JOLIN,mandopop,2025-10-01T03:01:36.469262
05YVYeV4HxYp5rrWalvuE1,"Grover Washington, Jr.",soul jazz,2025-10-01T03:01:36.689714
75CM5fojYdKYD0xYSFh22Z,Yisa Yu,gufeng,2025-10-01T03:01:36.862279
4N8BwYTEC6XqykGvXXlmfv,George Benson,smooth jazz,2025-10-01T03:01:37.100674
2SY6OktZyMLdOnscX3DCyS,JANNABI,k-ballad,2025-10-01T03:01:37.280393
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b,2025-10-01T03:01:37.459395
6xErgeZYatiaQ36SB5bvi8,告五人,taiwanese indie,2025-10-01T03:01:37.616862
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,,2025-10-01T03:01:37.806550
3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.,musicals,2025-10-01T03:01:37.976894
7Dx7RhX0mFuXhCOUgB01uM,JJ Lin,mandopop,2025-10-01T03:01:38.153846
789FjOfgnmP40E4Zdyj7F4,Christy Altomare,musicals,2025-10-01T03:01:38.392805
69bG9tC62d8oTFC9aTTosn,New West,,2025-10-01T03:01:38.588109
