added_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_art_link,duration_ms,popularity,last_updated_datetime_utc
2025-09-28T07:43:05Z,2XeDzk1DZ2OSIOyDjYAaBv,在去而不返以先,76oIibS2wMO6znmOVWRTy2,海龟先生,3rheQQ9BQ5zLoXxIXV3EQk,赛浪20,https://i.scdn.co/image/ab67616d0000b2734668b33ba21c45a66662b668,237352,11,2025-09-29T05:18:24.235855
2025-09-25T07:12:46Z,4XrWar13kLO1jr535AzKrQ,我不難過,0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,1kOV94kOm4oCBzloDcW9ry,未完成,https://i.scdn.co/image/ab67616d0000b27384dfb5e38d967ab0bd2b2190,320400,61,2025-09-29T05:18:24.235892
2025-09-25T04:24:08Z,3KRuBXbGVj7caJO2wbPrdV,Sister - Acoustic Version,1w5kguKKWpMp9eoEVUQrbf,WON,6WqPH2bHf3EQd9EunJUzHi,Sister (Acoustic Version),https://i.scdn.co/image/ab67616d0000b273f2814abdac1312730a7c9d3d,211430,20,2025-09-29T05:18:24.235897
2025-09-24T11:48:44Z,4zhrTB5qqxGTbeniVJ8aWb,Voice of no Return - Guitar,0y0nI8lwDB2HRUPwDQuuiu,岡部啓一,0k7chxP5uvLMv6YOUcgVjF,NieR:Automata Original Soundtrack,https://i.scdn.co/image/ab67616d0000b273d916106f1242b633ec6805dd,231840,41,2025-09-29T05:18:24.235901
2025-09-24T06:06:31Z,3V1SivfZVJvyFiNgcHCKo2,原點,0SIXZXJCAhNU8sxK0qm7hn,Stefanie Sun,1syxEWBN7nroQPvupO1E9u,Your Song 2006 新歌+精選,https://i.scdn.co/image/ab67616d0000b273a0156e5ccc688a02353c1a38,247533,51,2025-09-29T05:18:24.235904
2025-09-23T06:35:13Z,72HIQaJ2xhtqCQ6tkMN6Bj,見習愛神,7jXoGtR69J2iYCefc58MZX,Twins,7roC3GDYAW8z83CICnMfM8,見習愛神,https://i.scdn.co/image/ab67616d0000b273b314c901d22ed47465df2b0f,214858,28,2025-09-29T05:18:24.235907
2025-09-23T06:18:47Z,0VGPId3riSeBV5FTRn850F,需要人陪,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,5lpy0FxmneKqFb4zeoiSHM,十八般武藝,https://i.scdn.co/image/ab67616d0000b27376205d68afd4aaec2b9deb10,251146,47,2025-09-29T05:18:24.235909
2025-09-23T06:17:47Z,4NI8oSMRCJdpJPFux5G92u,另一個天堂 (feat. 張靚穎),2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,4q3Dp4JkTVThfMe2OiZfUx,心跳,https://i.scdn.co/image/ab67616d0000b27304a297ff388c2048cf404788,266160,50,2025-09-29T05:18:24.235912
2025-09-23T06:17:32Z,0pzyN7Uy0bmDSsTs0iHuSC,大城小愛,2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,34D46J9tIGCqAj3FeiEA9O,蓋世英雄,https://i.scdn.co/image/ab67616d0000b273e1da547547eebc9f4ad59bde,224960,55,2025-09-29T05:18:24.235914
2025-09-22T11:19:36Z,2aEkwMP0T1qaAo1qLoI9gl,念念不忘,6YlGm6QDrC3TOknYcHjt62,Juno Mak,4jgf7XXvKdDRAgxZ8QGiW1,念念不忘,https://i.scdn.co/image/ab67616d0000b2731eb9af395b411eb52171c0aa,271353,48,2025-09-29T05:18:24.235917
