[2025-09-15T06:46:36.990+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs manual__2025-09-15T06:46:33.501635+00:00 [queued]>
[2025-09-15T06:46:36.996+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs manual__2025-09-15T06:46:33.501635+00:00 [queued]>
[2025-09-15T06:46:36.997+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-15T06:46:37.005+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-15 06:46:33.501635+00:00
[2025-09-15T06:46:37.019+0000] {standard_task_runner.py:57} INFO - Started process 32092 to run task
[2025-09-15T06:46:37.023+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'manual__2025-09-15T06:46:33.501635+00:00', '--job-id', '809', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpa7uahl1p']
[2025-09-15T06:46:37.026+0000] {standard_task_runner.py:85} INFO - Job 809: Subtask extract_songs
[2025-09-15T06:46:37.078+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs manual__2025-09-15T06:46:33.501635+00:00 [running]> on host 0d0cd054d690
[2025-09-15T06:46:37.412+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-15T06:46:33.501635+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-09-15T06:46:33.501635+00:00'
[2025-09-15T06:46:38.049+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-14T02:39:14.092Z  ...  2025-09-15T06:46:38.027337
1   2025-09-14T02:34:12.247Z  ...  2025-09-15T06:46:38.027362
2   2025-09-14T02:29:53.776Z  ...  2025-09-15T06:46:38.027367
3   2025-09-14T02:24:59.486Z  ...  2025-09-15T06:46:38.027369
4   2025-09-14T02:21:28.902Z  ...  2025-09-15T06:46:38.027371
5   2025-09-14T02:20:28.223Z  ...  2025-09-15T06:46:38.027374
6   2025-09-14T02:16:23.950Z  ...  2025-09-15T06:46:38.027376
7   2025-09-14T02:13:36.464Z  ...  2025-09-15T06:46:38.027378
8   2025-09-14T02:08:52.048Z  ...  2025-09-15T06:46:38.027381
9   2025-09-14T02:08:51.838Z  ...  2025-09-15T06:46:38.027383
10  2025-09-14T01:14:34.685Z  ...  2025-09-15T06:46:38.027385
11  2025-09-14T01:09:47.800Z  ...  2025-09-15T06:46:38.027387
12  2025-09-14T01:02:16.010Z  ...  2025-09-15T06:46:38.027390
13  2025-09-14T00:56:09.296Z  ...  2025-09-15T06:46:38.027392
14  2025-09-14T00:53:18.711Z  ...  2025-09-15T06:46:38.027394
15  2025-09-14T00:36:57.414Z  ...  2025-09-15T06:46:38.027396
16  2025-09-14T00:24:04.373Z  ...  2025-09-15T06:46:38.027399
17  2025-09-14T00:10:48.215Z  ...  2025-09-15T06:46:38.027401
18  2025-09-14T00:06:04.108Z  ...  2025-09-15T06:46:38.027403
19  2025-09-13T22:43:23.827Z  ...  2025-09-15T06:46:38.027405
20  2025-09-13T22:39:02.083Z  ...  2025-09-15T06:46:38.027407
21  2025-09-13T22:38:52.203Z  ...  2025-09-15T06:46:38.027412
22  2025-09-13T06:53:04.100Z  ...  2025-09-15T06:46:38.027415
23  2025-09-13T06:49:26.109Z  ...  2025-09-15T06:46:38.027417
24  2025-09-13T06:45:17.800Z  ...  2025-09-15T06:46:38.027419
25  2025-09-13T06:42:00.022Z  ...  2025-09-15T06:46:38.027421
26  2025-09-13T06:36:51.580Z  ...  2025-09-15T06:46:38.027423
27  2025-09-13T06:33:21.200Z  ...  2025-09-15T06:46:38.027425
28  2025-09-13T06:29:16.026Z  ...  2025-09-15T06:46:38.027427
29  2025-09-13T06:24:24.584Z  ...  2025-09-15T06:46:38.027429
30  2025-09-13T06:19:14.743Z  ...  2025-09-15T06:46:38.027431
31  2025-09-13T06:14:57.029Z  ...  2025-09-15T06:46:38.027433
