[2025-09-10T14:00:03.105+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-10T13:00:00+00:00 [queued]>
[2025-09-10T14:00:03.110+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-10T13:00:00+00:00 [queued]>
[2025-09-10T14:00:03.111+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2025-09-10T14:00:03.119+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-10 13:00:00+00:00
[2025-09-10T14:00:03.123+0000] {standard_task_runner.py:57} INFO - Started process 782 to run task
[2025-09-10T14:00:03.126+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-10T13:00:00+00:00', '--job-id', '96', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpzc68e6l0']
[2025-09-10T14:00:03.128+0000] {standard_task_runner.py:85} INFO - Job 96: Subtask extract_songs
[2025-09-10T14:00:03.159+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-10T13:00:00+00:00 [running]> on host 0d0cd054d690
[2025-09-10T14:00:03.212+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-10T13:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-10T13:00:00+00:00'
[2025-09-10T14:00:04.002+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-10T12:56:44.399Z  ...  2025-09-10T14:00:03.985811
1   2025-09-10T12:52:11.659Z  ...  2025-09-10T14:00:03.985834
2   2025-09-10T12:48:30.726Z  ...  2025-09-10T14:00:03.985840
3   2025-09-10T12:42:49.170Z  ...  2025-09-10T14:00:03.985844
4   2025-09-10T12:40:39.469Z  ...  2025-09-10T14:00:03.985848
5   2025-09-10T12:33:43.546Z  ...  2025-09-10T14:00:03.985852
6   2025-09-10T12:28:59.379Z  ...  2025-09-10T14:00:03.985856
7   2025-09-10T12:24:17.929Z  ...  2025-09-10T14:00:03.985860
8   2025-09-10T12:19:19.608Z  ...  2025-09-10T14:00:03.985864
9   2025-09-10T12:15:05.905Z  ...  2025-09-10T14:00:03.985868
10  2025-09-10T12:10:45.270Z  ...  2025-09-10T14:00:03.985872
11  2025-09-10T12:06:28.702Z  ...  2025-09-10T14:00:03.985876
12  2025-09-10T12:02:29.484Z  ...  2025-09-10T14:00:03.985902
13  2025-09-10T07:56:22.556Z  ...  2025-09-10T14:00:03.985906
14  2025-09-10T07:52:05.270Z  ...  2025-09-10T14:00:03.985910
15  2025-09-10T07:47:56.939Z  ...  2025-09-10T14:00:03.985913
16  2025-09-10T07:44:33.770Z  ...  2025-09-10T14:00:03.985917
17  2025-09-10T07:40:49.694Z  ...  2025-09-10T14:00:03.985921
18  2025-09-10T07:35:49.591Z  ...  2025-09-10T14:00:03.985925
19  2025-09-10T07:31:54.046Z  ...  2025-09-10T14:00:03.985929
20  2025-09-10T07:26:46.722Z  ...  2025-09-10T14:00:03.985932
21  2025-09-10T07:22:37.427Z  ...  2025-09-10T14:00:03.985936
22  2025-09-10T07:20:05.470Z  ...  2025-09-10T14:00:03.985940
23  2025-09-10T07:14:57.205Z  ...  2025-09-10T14:00:03.985944
24  2025-09-10T07:11:51.321Z  ...  2025-09-10T14:00:03.985948
25  2025-09-10T07:08:29.355Z  ...  2025-09-10T14:00:03.985951
26  2025-09-10T07:04:29.403Z  ...  2025-09-10T14:00:03.985955
27  2025-09-10T07:00:40.929Z  ...  2025-09-10T14:00:03.985959
28  2025-09-10T06:57:43.782Z  ...  2025-09-10T14:00:03.985963
29  2025-09-10T06:54:31.967Z  ...  2025-09-10T14:00:03.985966
30  2025-09-10T06:51:09.612Z  ...  2025-09-10T14:00:03.985970
31  2025-09-10T06:45:20.402Z  ...  2025-09-10T14:00:03.985974
32  2025-09-10T06:41:06.432Z  ...  2025-09-10T14:00:03.985978
33  2025-09-10T06:35:58.602Z  ...  2025-09-10T14:00:03.985981
34  2025-09-10T06:32:17.407Z  ...  2025-09-10T14:00:03.985985
35  2025-09-10T06:29:10.655Z  ...  2025-09-10T14:00:03.985988
36  2025-09-10T06:25:39.867Z  ...  2025-09-10T14:00:03.985993
37  2025-09-10T06:21:17.663Z  ...  2025-09-10T14:00:03.985996
38  2025-09-10T06:17:19.837Z  ...  2025-09-10T14:00:03.986000
39  2025-09-10T06:13:03.439Z  ...  2025-09-10T14:00:03.986004
40  2025-09-10T06:09:17.445Z  ...  2025-09-10T14:00:03.986007
41  2025-09-10T06:05:36.889Z  ...  2025-09-10T14:00:03.986011
42  2025-09-10T06:02:49.051Z  ...  2025-09-10T14:00:03.986015
43  2025-09-10T05:59:07.068Z  ...  2025-09-10T14:00:03.986020
44  2025-09-10T05:54:49.191Z  ...  2025-09-10T14:00:03.986024
45  2025-09-10T05:49:58.326Z  ...  2025-09-10T14:00:03.986027
46  2025-09-10T05:45:50.370Z  ...  2025-09-10T14:00:03.986031
