[2025-09-12T06:00:03.044+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-12T05:00:00+00:00 [queued]>
[2025-09-12T06:00:03.050+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-12T05:00:00+00:00 [queued]>
[2025-09-12T06:00:03.051+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-12T06:00:03.060+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-12 05:00:00+00:00
[2025-09-12T06:00:03.068+0000] {standard_task_runner.py:57} INFO - Started process 25130 to run task
[2025-09-12T06:00:03.071+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-12T05:00:00+00:00', '--job-id', '317', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmp32dm8gcs']
[2025-09-12T06:00:03.074+0000] {standard_task_runner.py:85} INFO - Job 317: Subtask extract_songs
[2025-09-12T06:00:03.129+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-12T05:00:00+00:00 [running]> on host 0d0cd054d690
[2025-09-12T06:00:03.540+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-12T05:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-12T05:00:00+00:00'
[2025-09-12T06:00:04.205+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-12T05:52:07.655Z  ...  2025-09-12T06:00:04.191962
1   2025-09-12T05:48:04.281Z  ...  2025-09-12T06:00:04.191975
2   2025-09-12T05:44:35.730Z  ...  2025-09-12T06:00:04.191977
3   2025-09-12T05:31:44.966Z  ...  2025-09-12T06:00:04.191980
4   2025-09-12T05:23:09.798Z  ...  2025-09-12T06:00:04.191982
5   2025-09-12T05:19:37.284Z  ...  2025-09-12T06:00:04.191984
6   2025-09-12T05:15:13.312Z  ...  2025-09-12T06:00:04.191986
7   2025-09-12T05:11:05.377Z  ...  2025-09-12T06:00:04.191988
8   2025-09-12T05:06:07.266Z  ...  2025-09-12T06:00:04.191990
9   2025-09-12T05:02:37.709Z  ...  2025-09-12T06:00:04.191992
10  2025-09-12T04:57:45.415Z  ...  2025-09-12T06:00:04.191994
11  2025-09-12T04:49:09.670Z  ...  2025-09-12T06:00:04.191997
12  2025-09-12T04:44:44.087Z  ...  2025-09-12T06:00:04.191999
13  2025-09-12T04:39:06.107Z  ...  2025-09-12T06:00:04.192001
14  2025-09-12T04:01:48.133Z  ...  2025-09-12T06:00:04.192003
15  2025-09-12T03:58:34.092Z  ...  2025-09-12T06:00:04.192201
16  2025-09-12T03:53:36.509Z  ...  2025-09-12T06:00:04.192204
17  2025-09-12T03:49:41.642Z  ...  2025-09-12T06:00:04.192206
18  2025-09-12T03:47:02.586Z  ...  2025-09-12T06:00:04.192208
19  2025-09-12T03:43:33.289Z  ...  2025-09-12T06:00:04.192210
20  2025-09-12T03:41:00.815Z  ...  2025-09-12T06:00:04.192212
21  2025-09-12T03:37:56.011Z  ...  2025-09-12T06:00:04.192214
22  2025-09-12T03:34:51.687Z  ...  2025-09-12T06:00:04.192216
23  2025-09-12T03:29:04.033Z  ...  2025-09-12T06:00:04.192218
24  2025-09-12T03:25:33.551Z  ...  2025-09-12T06:00:04.192221
25  2025-09-12T03:22:33.956Z  ...  2025-09-12T06:00:04.192223
26  2025-09-12T03:19:09.124Z  ...  2025-09-12T06:00:04.192225
27  2025-09-12T03:17:10.395Z  ...  2025-09-12T06:00:04.192227
28  2025-09-12T03:11:59.095Z  ...  2025-09-12T06:00:04.192229
29      2025-09-12T03:09:51Z  ...  2025-09-12T06:00:04.192231
30  2025-09-12T03:08:10.531Z  ...  2025-09-12T06:00:04.192233
31  2025-09-12T03:05:58.985Z  ...  2025-09-12T06:00:04.192235
32  2025-09-12T03:03:22.620Z  ...  2025-09-12T06:00:04.192237
33  2025-09-12T03:01:27.669Z  ...  2025-09-12T06:00:04.192239
34  2025-09-12T02:59:50.546Z  ...  2025-09-12T06:00:04.192241
35  2025-09-12T02:57:52.622Z  ...  2025-09-12T06:00:04.192243
36  2025-09-12T02:55:52.641Z  ...  2025-09-12T06:00:04.192245
37  2025-09-12T02:53:31.638Z  ...  2025-09-12T06:00:04.192247
38  2025-09-11T13:44:05.553Z  ...  2025-09-12T06:00:04.192249
39  2025-09-11T13:40:44.501Z  ...  2025-09-12T06:00:04.192251
40  2025-09-11T13:38:19.124Z  ...  2025-09-12T06:00:04.192253
41  2025-09-11T13:36:37.214Z  ...  2025-09-12T06:00:04.192255
42  2025-09-11T13:34:25.736Z  ...  2025-09-12T06:00:04.192257
43  2025-09-11T13:32:32.500Z  ...  2025-09-12T06:00:04.192259
44  2025-09-11T13:29:38.209Z  ...  2025-09-12T06:00:04.192261
45  2025-09-11T13:26:59.340Z  ...  2025-09-12T06:00:04.192263
46  2025-09-11T13:24:53.479Z  ...  2025-09-12T06:00:04.192264
47  2025-09-11T13:22:31.177Z  ...  2025-09-12T06:00:04.192266
48  2025-09-11T13:19:53.765Z  ...  2025-09-12T06:00:04.192268
49  2025-09-11T13:18:38.552Z  ...  2025-09-12T06:00:04.192270

[50 rows x 12 columns]
[2025-09-12T06:00:04.287+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=spotify_etl_pipeline, task_id=extract_songs, execution_date=20250912T050000, start_date=20250912T060003, end_date=20250912T060004
[2025-09-12T06:00:04.341+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2025-09-12T06:00:04.372+0000] {taskinstance.py:2784} INFO - 1 downstream tasks scheduled from follow-on schedule check
