[2025-09-13T15:00:02.433+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-13T14:00:00+00:00 [queued]>
[2025-09-13T15:00:02.438+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-13T14:00:00+00:00 [queued]>
[2025-09-13T15:00:02.439+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-13T15:00:02.447+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-13 14:00:00+00:00
[2025-09-13T15:00:02.450+0000] {standard_task_runner.py:57} INFO - Started process 81797 to run task
[2025-09-13T15:00:02.454+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-13T14:00:00+00:00', '--job-id', '528', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpe8kjnr7m']
[2025-09-13T15:00:02.457+0000] {standard_task_runner.py:85} INFO - Job 528: Subtask extract_songs
[2025-09-13T15:00:02.519+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-13T14:00:00+00:00 [running]> on host 0d0cd054d690
[2025-09-13T15:00:02.750+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-13T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-13T14:00:00+00:00'
[2025-09-13T15:00:03.744+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-13T06:53:04.100Z  ...  2025-09-13T15:00:03.725193
1   2025-09-13T06:49:26.109Z  ...  2025-09-13T15:00:03.725218
2   2025-09-13T06:45:17.800Z  ...  2025-09-13T15:00:03.725224
3   2025-09-13T06:42:00.022Z  ...  2025-09-13T15:00:03.725229
4   2025-09-13T06:36:51.580Z  ...  2025-09-13T15:00:03.725233
5   2025-09-13T06:33:21.200Z  ...  2025-09-13T15:00:03.725237
6   2025-09-13T06:29:16.026Z  ...  2025-09-13T15:00:03.725241
7   2025-09-13T06:24:24.584Z  ...  2025-09-13T15:00:03.725264
8   2025-09-13T06:19:14.743Z  ...  2025-09-13T15:00:03.725268
9   2025-09-13T06:14:57.029Z  ...  2025-09-13T15:00:03.725273
10  2025-09-13T06:10:34.600Z  ...  2025-09-13T15:00:03.725276
11  2025-09-13T06:06:15.358Z  ...  2025-09-13T15:00:03.725280
12  2025-09-13T06:02:30.961Z  ...  2025-09-13T15:00:03.725288
13  2025-09-13T05:54:38.768Z  ...  2025-09-13T15:00:03.725292
14  2025-09-13T05:49:36.757Z  ...  2025-09-13T15:00:03.725295
15  2025-09-13T05:45:11.280Z  ...  2025-09-13T15:00:03.725299
16  2025-09-13T05:41:11.159Z  ...  2025-09-13T15:00:03.725303
17  2025-09-13T05:37:18.775Z  ...  2025-09-13T15:00:03.725306
18  2025-09-13T05:30:09.406Z  ...  2025-09-13T15:00:03.725310
19  2025-09-13T05:26:45.579Z  ...  2025-09-13T15:00:03.725314
20  2025-09-13T05:22:38.681Z  ...  2025-09-13T15:00:03.725318
21  2025-09-13T05:19:48.428Z  ...  2025-09-13T15:00:03.725321
22  2025-09-13T05:16:42.779Z  ...  2025-09-13T15:00:03.725325
23  2025-09-13T05:12:30.903Z  ...  2025-09-13T15:00:03.725343
24  2025-09-13T05:04:16.407Z  ...  2025-09-13T15:00:03.725346
25  2025-09-13T04:46:24.584Z  ...  2025-09-13T15:00:03.725350
26  2025-09-13T04:42:52.171Z  ...  2025-09-13T15:00:03.725354
27  2025-09-13T04:37:48.199Z  ...  2025-09-13T15:00:03.725357
28  2025-09-13T04:33:38.523Z  ...  2025-09-13T15:00:03.725361
29  2025-09-13T04:29:32.987Z  ...  2025-09-13T15:00:03.725365
30  2025-09-13T04:25:28.451Z  ...  2025-09-13T15:00:03.725368
31  2025-09-13T04:20:48.962Z  ...  2025-09-13T15:00:03.725372
32  2025-09-13T04:15:04.627Z  ...  2025-09-13T15:00:03.725376
33  2025-09-13T04:11:44.042Z  ...  2025-09-13T15:00:03.725379
34  2025-09-13T04:06:35.581Z  ...  2025-09-13T15:00:03.725383
35  2025-09-12T13:29:02.080Z  ...  2025-09-13T15:00:03.725386
36  2025-09-12T13:27:27.490Z  ...  2025-09-13T15:00:03.725390
37  2025-09-12T13:25:13.147Z  ...  2025-09-13T15:00:03.725394
38  2025-09-12T13:22:50.321Z  ...  2025-09-13T15:00:03.725398
39  2025-09-12T13:20:06.262Z  ...  2025-09-13T15:00:03.725417
40  2025-09-12T13:18:11.704Z  ...  2025-09-13T15:00:03.725421
41  2025-09-12T13:15:56.093Z  ...  2025-09-13T15:00:03.725424
42  2025-09-12T13:13:52.935Z  ...  2025-09-13T15:00:03.725428
43  2025-09-12T13:12:29.672Z  ...  2025-09-13T15:00:03.725431
44  2025-09-12T13:02:40.270Z  ...  2025-09-13T15:00:03.725435
45  2025-09-12T12:58:53.057Z  ...  2025-09-13T15:00:03.725439
46  2025-09-12T12:54:04.375Z  ...  2025-09-13T15:00:03.725442
47  2025-09-12T12:49:50.799Z  ...  2025-09-13T15:00:03.725446
48  2025-09-12T12:45:45.603Z  ...  2025-09-13T15:00:03.725449
49  2025-09-12T12:41:35.198Z  ...  2025-09-13T15:00:03.725452

[50 rows x 12 columns]
