[2025-09-14T10:04:47.508+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-14T09:00:00+00:00 [queued]>
[2025-09-14T10:04:47.519+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-14T09:00:00+00:00 [queued]>
[2025-09-14T10:04:47.519+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-14T10:04:47.530+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-14 09:00:00+00:00
[2025-09-14T10:04:47.536+0000] {standard_task_runner.py:57} INFO - Started process 8685 to run task
[2025-09-14T10:04:47.540+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-14T09:00:00+00:00', '--job-id', '636', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmp9p7p1q7i']
[2025-09-14T10:04:47.543+0000] {standard_task_runner.py:85} INFO - Job 636: Subtask extract_songs
[2025-09-14T10:04:47.627+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-14T09:00:00+00:00 [running]> on host 0d0cd054d690
[2025-09-14T10:04:48.072+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-14T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-14T09:00:00+00:00'
[2025-09-14T10:04:48.691+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-14T02:39:14.092Z  ...  2025-09-14T10:04:48.674832
1   2025-09-14T02:34:12.247Z  ...  2025-09-14T10:04:48.674865
2   2025-09-14T02:29:53.776Z  ...  2025-09-14T10:04:48.674870
3   2025-09-14T02:24:59.486Z  ...  2025-09-14T10:04:48.674873
4   2025-09-14T02:21:28.902Z  ...  2025-09-14T10:04:48.674877
5   2025-09-14T02:20:28.223Z  ...  2025-09-14T10:04:48.674880
6   2025-09-14T02:16:23.950Z  ...  2025-09-14T10:04:48.674883
7   2025-09-14T02:13:36.464Z  ...  2025-09-14T10:04:48.674900
8   2025-09-14T02:08:52.048Z  ...  2025-09-14T10:04:48.674904
9   2025-09-14T02:08:51.838Z  ...  2025-09-14T10:04:48.674907
10  2025-09-14T01:14:34.685Z  ...  2025-09-14T10:04:48.674911
11  2025-09-14T01:09:47.800Z  ...  2025-09-14T10:04:48.674914
12  2025-09-14T01:02:16.010Z  ...  2025-09-14T10:04:48.674917
13  2025-09-14T00:56:09.296Z  ...  2025-09-14T10:04:48.674920
14  2025-09-14T00:53:18.711Z  ...  2025-09-14T10:04:48.674923
15  2025-09-14T00:36:57.414Z  ...  2025-09-14T10:04:48.674926
16  2025-09-14T00:24:04.373Z  ...  2025-09-14T10:04:48.674931
17  2025-09-14T00:10:48.215Z  ...  2025-09-14T10:04:48.674935
18  2025-09-14T00:06:04.108Z  ...  2025-09-14T10:04:48.674938
19  2025-09-13T22:43:23.827Z  ...  2025-09-14T10:04:48.674941
20  2025-09-13T22:39:02.083Z  ...  2025-09-14T10:04:48.674944
21  2025-09-13T22:38:52.203Z  ...  2025-09-14T10:04:48.674947
22  2025-09-13T06:53:04.100Z  ...  2025-09-14T10:04:48.674951
23  2025-09-13T06:49:26.109Z  ...  2025-09-14T10:04:48.674954
24  2025-09-13T06:45:17.800Z  ...  2025-09-14T10:04:48.674957
25  2025-09-13T06:42:00.022Z  ...  2025-09-14T10:04:48.674960
