[2025-09-17T05:00:24.459+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-17T04:00:00+00:00 [queued]>
[2025-09-17T05:00:24.473+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-17T04:00:00+00:00 [queued]>
[2025-09-17T05:00:24.475+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-17T05:00:24.498+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-17 04:00:00+00:00
[2025-09-17T05:00:24.524+0000] {standard_task_runner.py:57} INFO - Started process 189 to run task
[2025-09-17T05:00:24.529+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-17T04:00:00+00:00', '--job-id', '1106', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpap5n5i5v']
[2025-09-17T05:00:24.533+0000] {standard_task_runner.py:85} INFO - Job 1106: Subtask extract_songs
[2025-09-17T05:00:24.655+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-17T04:00:00+00:00 [running]> on host b0643c402885
[2025-09-17T05:00:25.500+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-17T04:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-17T04:00:00+00:00'
[2025-09-17T05:00:26.343+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-17T04:59:36.852Z  ...  2025-09-17T05:00:26.278668
1   2025-09-17T04:53:54.523Z  ...  2025-09-17T05:00:26.278736
2   2025-09-17T04:48:55.350Z  ...  2025-09-17T05:00:26.278747
3   2025-09-16T12:57:45.823Z  ...  2025-09-17T05:00:26.278752
4   2025-09-16T12:41:03.682Z  ...  2025-09-17T05:00:26.278756
5   2025-09-16T12:36:36.923Z  ...  2025-09-17T05:00:26.278761
6   2025-09-16T12:32:07.173Z  ...  2025-09-17T05:00:26.278765
7   2025-09-16T12:20:50.131Z  ...  2025-09-17T05:00:26.278769
8   2025-09-16T12:16:24.047Z  ...  2025-09-17T05:00:26.278772
9   2025-09-16T12:12:09.047Z  ...  2025-09-17T05:00:26.278776
10  2025-09-16T12:06:43.052Z  ...  2025-09-17T05:00:26.278778
11  2025-09-16T08:47:48.024Z  ...  2025-09-17T05:00:26.278782
12  2025-09-16T08:41:04.862Z  ...  2025-09-17T05:00:26.278786
13  2025-09-16T08:37:25.841Z  ...  2025-09-17T05:00:26.278789
14  2025-09-16T08:16:45.381Z  ...  2025-09-17T05:00:26.278793
15  2025-09-16T08:07:43.634Z  ...  2025-09-17T05:00:26.278863
16  2025-09-16T08:04:03.864Z  ...  2025-09-17T05:00:26.278871
17  2025-09-16T06:48:24.977Z  ...  2025-09-17T05:00:26.278876
18  2025-09-16T06:44:05.218Z  ...  2025-09-17T05:00:26.278879
19  2025-09-16T06:39:10.595Z  ...  2025-09-17T05:00:26.278905
20  2025-09-16T06:35:24.365Z  ...  2025-09-17T05:00:26.278910
21  2025-09-16T06:32:11.494Z  ...  2025-09-17T05:00:26.278914
22  2025-09-16T06:27:27.100Z  ...  2025-09-17T05:00:26.278918
23  2025-09-16T06:23:13.711Z  ...  2025-09-17T05:00:26.278922
24  2025-09-16T06:19:07.627Z  ...  2025-09-17T05:00:26.278926
25  2025-09-16T06:15:55.218Z  ...  2025-09-17T05:00:26.278930
