[2025-09-18T15:08:25.449+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-18T14:00:00+00:00 [queued]>
[2025-09-18T15:08:25.455+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-18T14:00:00+00:00 [queued]>
[2025-09-18T15:08:25.455+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-18T15:08:25.463+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-18 14:00:00+00:00
[2025-09-18T15:08:25.469+0000] {standard_task_runner.py:57} INFO - Started process 4841 to run task
[2025-09-18T15:08:25.472+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-18T14:00:00+00:00', '--job-id', '1302', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmp0a9efnam']
[2025-09-18T15:08:25.475+0000] {standard_task_runner.py:85} INFO - Job 1302: Subtask extract_songs
[2025-09-18T15:08:25.648+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-18T14:00:00+00:00 [running]> on host ee329644aa53
[2025-09-18T15:08:25.731+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-18T14:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-18T14:00:00+00:00'
[2025-09-18T15:08:26.350+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-18T08:45:42.800Z  ...  2025-09-18T15:08:26.329644
1   2025-09-18T03:18:04.861Z  ...  2025-09-18T15:08:26.329668
2   2025-09-18T03:14:30.935Z  ...  2025-09-18T15:08:26.329673
3   2025-09-17T08:42:05.652Z  ...  2025-09-18T15:08:26.329678
4   2025-09-17T06:20:07.703Z  ...  2025-09-18T15:08:26.329682
5   2025-09-17T06:16:00.966Z  ...  2025-09-18T15:08:26.329686
6   2025-09-17T06:11:18.572Z  ...  2025-09-18T15:08:26.329690
7   2025-09-17T06:04:35.614Z  ...  2025-09-18T15:08:26.329695
8   2025-09-17T06:03:24.298Z  ...  2025-09-18T15:08:26.329699
9   2025-09-17T06:01:53.654Z  ...  2025-09-18T15:08:26.329703
10  2025-09-17T05:59:31.722Z  ...  2025-09-18T15:08:26.329707
11  2025-09-17T05:58:26.346Z  ...  2025-09-18T15:08:26.329711
12  2025-09-17T05:56:43.099Z  ...  2025-09-18T15:08:26.329715
13  2025-09-17T05:54:41.087Z  ...  2025-09-18T15:08:26.329718
14  2025-09-17T05:51:07.007Z  ...  2025-09-18T15:08:26.329723
15  2025-09-17T05:49:43.222Z  ...  2025-09-18T15:08:26.329727
16  2025-09-17T05:47:52.139Z  ...  2025-09-18T15:08:26.329730
17  2025-09-17T05:46:38.120Z  ...  2025-09-18T15:08:26.329734
18  2025-09-17T05:45:12.954Z  ...  2025-09-18T15:08:26.329738
19  2025-09-17T05:43:09.655Z  ...  2025-09-18T15:08:26.329741
20  2025-09-17T05:38:43.154Z  ...  2025-09-18T15:08:26.329745
21  2025-09-17T05:34:42.951Z  ...  2025-09-18T15:08:26.329748
22  2025-09-17T05:31:06.099Z  ...  2025-09-18T15:08:26.329752
23  2025-09-17T05:26:38.696Z  ...  2025-09-18T15:08:26.329755
24  2025-09-17T05:22:41.164Z  ...  2025-09-18T15:08:26.329759
25  2025-09-17T05:19:03.459Z  ...  2025-09-18T15:08:26.329762
26  2025-09-17T05:14:07.692Z  ...  2025-09-18T15:08:26.329767
27  2025-09-17T05:08:58.027Z  ...  2025-09-18T15:08:26.329770
28  2025-09-17T05:05:43.078Z  ...  2025-09-18T15:08:26.329773
29  2025-09-17T04:59:36.852Z  ...  2025-09-18T15:08:26.329777
30  2025-09-17T04:53:54.523Z  ...  2025-09-18T15:08:26.329780
31  2025-09-17T04:48:55.350Z  ...  2025-09-18T15:08:26.329784
32  2025-09-16T12:57:45.823Z  ...  2025-09-18T15:08:26.329787
33  2025-09-16T12:41:03.682Z  ...  2025-09-18T15:08:26.329791
34  2025-09-16T12:36:36.923Z  ...  2025-09-18T15:08:26.329795
35  2025-09-16T12:32:07.173Z  ...  2025-09-18T15:08:26.329798
36  2025-09-16T12:20:50.131Z  ...  2025-09-18T15:08:26.329802
37  2025-09-16T12:16:24.047Z  ...  2025-09-18T15:08:26.329812
38  2025-09-16T12:12:09.047Z  ...  2025-09-18T15:08:26.329816
39  2025-09-16T12:06:43.052Z  ...  2025-09-18T15:08:26.329819
