[2025-09-20T02:00:04.120+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-19T15:00:00+00:00 [queued]>
[2025-09-20T02:00:04.128+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-19T15:00:00+00:00 [queued]>
[2025-09-20T02:00:04.129+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-20T02:00:04.142+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-19 15:00:00+00:00
[2025-09-20T02:00:04.152+0000] {standard_task_runner.py:57} INFO - Started process 20472 to run task
[2025-09-20T02:00:04.155+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-19T15:00:00+00:00', '--job-id', '1425', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmp58dz279u']
[2025-09-20T02:00:04.159+0000] {standard_task_runner.py:85} INFO - Job 1425: Subtask extract_songs
[2025-09-20T02:00:04.414+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-19T15:00:00+00:00 [running]> on host 8a603698361b
[2025-09-20T02:00:04.480+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-19T15:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-19T15:00:00+00:00'
[2025-09-20T02:00:05.279+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-19T13:04:08.390Z  ...  2025-09-20T02:00:05.260340
1   2025-09-19T13:01:07.754Z  ...  2025-09-20T02:00:05.260365
2   2025-09-19T12:57:32.735Z  ...  2025-09-20T02:00:05.260370
3   2025-09-19T12:54:29.412Z  ...  2025-09-20T02:00:05.260374
4   2025-09-19T12:50:11.492Z  ...  2025-09-20T02:00:05.260377
5   2025-09-19T12:44:13.078Z  ...  2025-09-20T02:00:05.260381
6   2025-09-19T12:41:03.904Z  ...  2025-09-20T02:00:05.260384
7   2025-09-19T12:39:58.566Z  ...  2025-09-20T02:00:05.260390
8   2025-09-19T12:37:33.204Z  ...  2025-09-20T02:00:05.260393
9   2025-09-19T12:34:02.485Z  ...  2025-09-20T02:00:05.260396
10  2025-09-19T12:29:23.075Z  ...  2025-09-20T02:00:05.260399
11  2025-09-19T12:24:53.310Z  ...  2025-09-20T02:00:05.260402
12  2025-09-19T12:20:47.989Z  ...  2025-09-20T02:00:05.260405
13  2025-09-19T12:16:23.929Z  ...  2025-09-20T02:00:05.260408
14  2025-09-19T12:11:45.929Z  ...  2025-09-20T02:00:05.260410
15  2025-09-19T12:08:43.876Z  ...  2025-09-20T02:00:05.260413
16  2025-09-19T12:05:23.365Z  ...  2025-09-20T02:00:05.260418
17  2025-09-19T12:01:53.665Z  ...  2025-09-20T02:00:05.260421
18  2025-09-19T06:23:58.632Z  ...  2025-09-20T02:00:05.260424
19  2025-09-19T06:20:47.559Z  ...  2025-09-20T02:00:05.260427
20  2025-09-19T06:16:15.248Z  ...  2025-09-20T02:00:05.260429
21  2025-09-19T06:12:27.088Z  ...  2025-09-20T02:00:05.260432
22  2025-09-19T06:08:16.805Z  ...  2025-09-20T02:00:05.260435
23  2025-09-19T06:04:51.286Z  ...  2025-09-20T02:00:05.260437
24  2025-09-19T06:01:03.070Z  ...  2025-09-20T02:00:05.260440
25  2025-09-19T05:57:30.357Z  ...  2025-09-20T02:00:05.260443
26  2025-09-19T05:53:43.910Z  ...  2025-09-20T02:00:05.260446
27  2025-09-19T05:49:06.854Z  ...  2025-09-20T02:00:05.260448
28  2025-09-19T05:45:31.413Z  ...  2025-09-20T02:00:05.260450
29  2025-09-19T05:40:54.605Z  ...  2025-09-20T02:00:05.260452
30  2025-09-19T05:36:25.208Z  ...  2025-09-20T02:00:05.260454
31  2025-09-19T05:32:14.912Z  ...  2025-09-20T02:00:05.260456
32  2025-09-19T05:26:52.258Z  ...  2025-09-20T02:00:05.260458
