[2025-09-20T10:00:03.619+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-20T09:00:00+00:00 [queued]>
[2025-09-20T10:00:03.625+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-20T09:00:00+00:00 [queued]>
[2025-09-20T10:00:03.625+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-20T10:00:03.635+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-20 09:00:00+00:00
[2025-09-20T10:00:03.643+0000] {standard_task_runner.py:57} INFO - Started process 32854 to run task
[2025-09-20T10:00:03.647+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-20T09:00:00+00:00', '--job-id', '1489', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpugpuxi2e']
[2025-09-20T10:00:03.650+0000] {standard_task_runner.py:85} INFO - Job 1489: Subtask extract_songs
[2025-09-20T10:00:03.892+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-20T09:00:00+00:00 [running]> on host 8a603698361b
[2025-09-20T10:00:03.958+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-20T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-20T09:00:00+00:00'
[2025-09-20T10:00:04.685+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-20T03:45:42.291Z  ...  2025-09-20T10:00:04.670193
1   2025-09-20T03:41:18.565Z  ...  2025-09-20T10:00:04.670216
2   2025-09-20T03:28:45.507Z  ...  2025-09-20T10:00:04.670227
3   2025-09-20T03:25:47.496Z  ...  2025-09-20T10:00:04.670231
4   2025-09-19T13:04:08.390Z  ...  2025-09-20T10:00:04.670235
5   2025-09-19T13:01:07.754Z  ...  2025-09-20T10:00:04.670239
6   2025-09-19T12:57:32.735Z  ...  2025-09-20T10:00:04.670243
7   2025-09-19T12:54:29.412Z  ...  2025-09-20T10:00:04.670247
8   2025-09-19T12:50:11.492Z  ...  2025-09-20T10:00:04.670250
9   2025-09-19T12:44:13.078Z  ...  2025-09-20T10:00:04.670254
10  2025-09-19T12:41:03.904Z  ...  2025-09-20T10:00:04.670258
11  2025-09-19T12:39:58.566Z  ...  2025-09-20T10:00:04.670261
12  2025-09-19T12:37:33.204Z  ...  2025-09-20T10:00:04.670265
13  2025-09-19T12:34:02.485Z  ...  2025-09-20T10:00:04.670269
14  2025-09-19T12:29:23.075Z  ...  2025-09-20T10:00:04.670274
15  2025-09-19T12:24:53.310Z  ...  2025-09-20T10:00:04.670278
16  2025-09-19T12:20:47.989Z  ...  2025-09-20T10:00:04.670282
17  2025-09-19T12:16:23.929Z  ...  2025-09-20T10:00:04.670285
18  2025-09-19T12:11:45.929Z  ...  2025-09-20T10:00:04.670292
19  2025-09-19T12:08:43.876Z  ...  2025-09-20T10:00:04.670295
20  2025-09-19T12:05:23.365Z  ...  2025-09-20T10:00:04.670299
21  2025-09-19T12:01:53.665Z  ...  2025-09-20T10:00:04.670302
22  2025-09-19T06:23:58.632Z  ...  2025-09-20T10:00:04.670306
23  2025-09-19T06:20:47.559Z  ...  2025-09-20T10:00:04.670310
24  2025-09-19T06:16:15.248Z  ...  2025-09-20T10:00:04.670314
25  2025-09-19T06:12:27.088Z  ...  2025-09-20T10:00:04.670317
26  2025-09-19T06:08:16.805Z  ...  2025-09-20T10:00:04.670321
27  2025-09-19T06:04:51.286Z  ...  2025-09-20T10:00:04.670325
28  2025-09-19T06:01:03.070Z  ...  2025-09-20T10:00:04.670328
29  2025-09-19T05:57:30.357Z  ...  2025-09-20T10:00:04.670332
30  2025-09-19T05:53:43.910Z  ...  2025-09-20T10:00:04.670336
31  2025-09-19T05:49:06.854Z  ...  2025-09-20T10:00:04.670339
32  2025-09-19T05:45:31.413Z  ...  2025-09-20T10:00:04.670343
33  2025-09-19T05:40:54.605Z  ...  2025-09-20T10:00:04.670346
34  2025-09-19T05:36:25.208Z  ...  2025-09-20T10:00:04.670350
35  2025-09-19T05:32:14.912Z  ...  2025-09-20T10:00:04.670355
36  2025-09-19T05:26:52.258Z  ...  2025-09-20T10:00:04.670359
37  2025-09-19T05:22:30.877Z  ...  2025-09-20T10:00:04.670362
38  2025-09-19T05:07:18.136Z  ...  2025-09-20T10:00:04.670366
39  2025-09-19T04:54:31.675Z  ...  2025-09-20T10:00:04.670370
40  2025-09-19T04:49:34.496Z  ...  2025-09-20T10:00:04.670373
41  2025-09-19T04:44:35.689Z  ...  2025-09-20T10:00:04.670377
42  2025-09-19T04:40:57.674Z  ...  2025-09-20T10:00:04.670380
43  2025-09-18T08:45:42.800Z  ...  2025-09-20T10:00:04.670383
44  2025-09-18T03:18:04.861Z  ...  2025-09-20T10:00:04.670387
45  2025-09-18T03:14:30.935Z  ...  2025-09-20T10:00:04.670390
46  2025-09-17T08:42:05.652Z  ...  2025-09-20T10:00:04.670405
47  2025-09-17T06:20:07.703Z  ...  2025-09-20T10:00:04.670409
48  2025-09-17T06:16:00.966Z  ...  2025-09-20T10:00:04.670413
49  2025-09-17T06:11:18.572Z  ...  2025-09-20T10:00:04.670416

[50 rows x 12 columns]
[2025-09-20T10:00:04.756+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=spotify_etl_pipeline, task_id=extract_songs, execution_date=20250920T090000, start_date=20250920T100003, end_date=20250920T100004
[2025-09-20T10:00:04.796+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2025-09-20T10:00:04.913+0000] {taskinstance.py:2784} INFO - 1 downstream tasks scheduled from follow-on schedule check
