[2025-09-21T03:00:03.969+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-21T02:00:00+00:00 [queued]>
[2025-09-21T03:00:03.985+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-21T02:00:00+00:00 [queued]>
[2025-09-21T03:00:03.986+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-21T03:00:04.012+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-21 02:00:00+00:00
[2025-09-21T03:00:04.037+0000] {standard_task_runner.py:57} INFO - Started process 57298 to run task
[2025-09-21T03:00:04.044+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-21T02:00:00+00:00', '--job-id', '1547', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmpdhxeom7y']
[2025-09-21T03:00:04.048+0000] {standard_task_runner.py:85} INFO - Job 1547: Subtask extract_songs
[2025-09-21T03:00:04.401+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-21T02:00:00+00:00 [running]> on host 8a603698361b
[2025-09-21T03:00:04.513+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-21T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-21T02:00:00+00:00'
[2025-09-21T03:00:05.410+0000] {python.py:194} INFO - Done. Returned value was:                played_at_utc  ...   last_updated_datetime_utc
0   2025-09-21T01:47:53.650Z  ...  2025-09-21T03:00:05.343104
1   2025-09-21T01:43:20.762Z  ...  2025-09-21T03:00:05.343135
2   2025-09-21T01:40:01.204Z  ...  2025-09-21T03:00:05.343140
3   2025-09-20T03:45:42.291Z  ...  2025-09-21T03:00:05.343142
4   2025-09-20T03:41:18.565Z  ...  2025-09-21T03:00:05.343155
5   2025-09-20T03:28:45.507Z  ...  2025-09-21T03:00:05.343159
6   2025-09-20T03:25:47.496Z  ...  2025-09-21T03:00:05.343161
7   2025-09-19T13:04:08.390Z  ...  2025-09-21T03:00:05.343164
8   2025-09-19T13:01:07.754Z  ...  2025-09-21T03:00:05.343166
9   2025-09-19T12:57:32.735Z  ...  2025-09-21T03:00:05.343168
10  2025-09-19T12:54:29.412Z  ...  2025-09-21T03:00:05.343171
11  2025-09-19T12:50:11.492Z  ...  2025-09-21T03:00:05.343173
12  2025-09-19T12:44:13.078Z  ...  2025-09-21T03:00:05.343175
13  2025-09-19T12:41:03.904Z  ...  2025-09-21T03:00:05.343178
14  2025-09-19T12:39:58.566Z  ...  2025-09-21T03:00:05.343183
15  2025-09-19T12:37:33.204Z  ...  2025-09-21T03:00:05.343185
16  2025-09-19T12:34:02.485Z  ...  2025-09-21T03:00:05.343187
17  2025-09-19T12:29:23.075Z  ...  2025-09-21T03:00:05.343190
18  2025-09-19T12:24:53.310Z  ...  2025-09-21T03:00:05.343192
19  2025-09-19T12:20:47.989Z  ...  2025-09-21T03:00:05.343194
20  2025-09-19T12:16:23.929Z  ...  2025-09-21T03:00:05.343197
21  2025-09-19T12:11:45.929Z  ...  2025-09-21T03:00:05.343199
22  2025-09-19T12:08:43.876Z  ...  2025-09-21T03:00:05.343201
23  2025-09-19T12:05:23.365Z  ...  2025-09-21T03:00:05.343203
24  2025-09-19T12:01:53.665Z  ...  2025-09-21T03:00:05.343206
25  2025-09-19T06:23:58.632Z  ...  2025-09-21T03:00:05.343208
26  2025-09-19T06:20:47.559Z  ...  2025-09-21T03:00:05.343210
27  2025-09-19T06:16:15.248Z  ...  2025-09-21T03:00:05.343213
28  2025-09-19T06:12:27.088Z  ...  2025-09-21T03:00:05.343215
29  2025-09-19T06:08:16.805Z  ...  2025-09-21T03:00:05.343217
30  2025-09-19T06:04:51.286Z  ...  2025-09-21T03:00:05.343220
31  2025-09-19T06:01:03.070Z  ...  2025-09-21T03:00:05.343222
32  2025-09-19T05:57:30.357Z  ...  2025-09-21T03:00:05.343224
33  2025-09-19T05:53:43.910Z  ...  2025-09-21T03:00:05.343226
34  2025-09-19T05:49:06.854Z  ...  2025-09-21T03:00:05.343229
35  2025-09-19T05:45:31.413Z  ...  2025-09-21T03:00:05.343231
36  2025-09-19T05:40:54.605Z  ...  2025-09-21T03:00:05.343233
37  2025-09-19T05:36:25.208Z  ...  2025-09-21T03:00:05.343236
38  2025-09-19T05:32:14.912Z  ...  2025-09-21T03:00:05.343238
39  2025-09-19T05:26:52.258Z  ...  2025-09-21T03:00:05.343240
40  2025-09-19T05:22:30.877Z  ...  2025-09-21T03:00:05.343242
41  2025-09-19T05:07:18.136Z  ...  2025-09-21T03:00:05.343245
42  2025-09-19T04:54:31.675Z  ...  2025-09-21T03:00:05.343247
43  2025-09-19T04:49:34.496Z  ...  2025-09-21T03:00:05.343249
44  2025-09-19T04:44:35.689Z  ...  2025-09-21T03:00:05.343252
45  2025-09-19T04:40:57.674Z  ...  2025-09-21T03:00:05.343255
46  2025-09-18T08:45:42.800Z  ...  2025-09-21T03:00:05.343258
47  2025-09-18T03:18:04.861Z  ...  2025-09-21T03:00:05.343260
48  2025-09-18T03:14:30.935Z  ...  2025-09-21T03:00:05.343263
49  2025-09-17T08:42:05.652Z  ...  2025-09-21T03:00:05.343265

[50 rows x 12 columns]
