[2025-09-24T10:00:03.810+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-24T09:00:00+00:00 [queued]>
[2025-09-24T10:00:03.816+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-24T09:00:00+00:00 [queued]>
[2025-09-24T10:00:03.817+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 6
[2025-09-24T10:00:03.831+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_songs> on 2025-09-24 09:00:00+00:00
[2025-09-24T10:00:03.838+0000] {standard_task_runner.py:57} INFO - Started process 4280 to run task
[2025-09-24T10:00:03.841+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'spotify_etl_pipeline', 'extract_songs', 'scheduled__2025-09-24T09:00:00+00:00', '--job-id', '2008', '--raw', '--subdir', 'DAGS_FOLDER/spotify_dag.py', '--cfg-path', '/tmp/tmph_5fu4wf']
[2025-09-24T10:00:03.845+0000] {standard_task_runner.py:85} INFO - Job 2008: Subtask extract_songs
[2025-09-24T10:00:04.205+0000] {task_command.py:415} INFO - Running <TaskInstance: spotify_etl_pipeline.extract_songs scheduled__2025-09-24T09:00:00+00:00 [running]> on host 8a603698361b
[2025-09-24T10:00:04.290+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='spotify_etl_pipeline' AIRFLOW_CTX_TASK_ID='extract_songs' AIRFLOW_CTX_EXECUTION_DATE='2025-09-24T09:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-09-24T09:00:00+00:00'
[2025-09-24T10:00:11.342+0000] {logging_mixin.py:151} INFO - ✅ Saved 31 artist images to data/artist_images.csv
[2025-09-24T10:00:11.367+0000] {python.py:194} INFO - Done. Returned value was: (               played_at_utc  ...   last_updated_datetime_utc
0   2025-09-24T07:30:47.989Z  ...  2025-09-24T10:00:04.860285
1   2025-09-24T06:09:42.648Z  ...  2025-09-24T10:00:04.860303
2   2025-09-24T06:05:34.582Z  ...  2025-09-24T10:00:04.860307
3   2025-09-24T06:00:39.959Z  ...  2025-09-24T10:00:04.860310
4   2025-09-24T05:56:44.293Z  ...  2025-09-24T10:00:04.860314
5   2025-09-24T05:52:13.070Z  ...  2025-09-24T10:00:04.860317
6   2025-09-24T05:47:37.972Z  ...  2025-09-24T10:00:04.860320
7   2025-09-24T05:45:09.404Z  ...  2025-09-24T10:00:04.860323
8   2025-09-24T05:39:20.527Z  ...  2025-09-24T10:00:04.860326
9   2025-09-24T04:45:41.904Z  ...  2025-09-24T10:00:04.860329
10  2025-09-24T04:29:23.385Z  ...  2025-09-24T10:00:04.860332
11  2025-09-24T04:00:26.479Z  ...  2025-09-24T10:00:04.860335
12  2025-09-24T03:56:17.004Z  ...  2025-09-24T10:00:04.860337
13  2025-09-24T03:51:24.226Z  ...  2025-09-24T10:00:04.860340
14  2025-09-23T12:25:43.235Z  ...  2025-09-24T10:00:04.860344
15  2025-09-23T12:20:39.087Z  ...  2025-09-24T10:00:04.860347
16  2025-09-23T08:17:47.120Z  ...  2025-09-24T10:00:04.860350
17  2025-09-23T08:14:10.280Z  ...  2025-09-24T10:00:04.860353
18  2025-09-23T08:12:03.317Z  ...  2025-09-24T10:00:04.860355
19  2025-09-23T08:07:40.669Z  ...  2025-09-24T10:00:04.860358
20  2025-09-23T08:04:50.611Z  ...  2025-09-24T10:00:04.860361
21  2025-09-23T08:00:23.299Z  ...  2025-09-24T10:00:04.860363
22  2025-09-23T07:56:39.036Z  ...  2025-09-24T10:00:04.860367
23  2025-09-23T07:47:43.546Z  ...  2025-09-24T10:00:04.860369
24  2025-09-23T07:44:01.282Z  ...  2025-09-24T10:00:04.860373
25  2025-09-23T07:41:49.878Z  ...  2025-09-24T10:00:04.860376
26  2025-09-23T07:37:19.179Z  ...  2025-09-24T10:00:04.860379
